"","A2","A3","A4","A6","A7","A8","B1","B2","B3","B4","B5","D1","D3","G1","J1","J2","J4","J5","J6","K1","K2","K4","K5","K6","L1","M1","M2","M3","M4","N1","N2","N3","S1","U3","U4"
"B5",0.622333772920932,0.508616903980862,0.474204480684557,0.407913149989186,0.339761040723027,0.741769960569087,0.325210707223713,0.702837919648709,0.760870331734386,0.782595573721016,0,0.681035157029266,0.895594110058118,0.419567941805772,0.692572778564666,0.622799553372171,0.623347804415035,0.841186442369429,0.667786166703596,0.549403076241997,0.499312281136936,0.879127224839874,0.729311737980216,0.619054098463408,0.617221425048996,0.501720699824028,0.460272183722112,0.51765297347704,0.932379178536091,0.406304739399245,0.585775285538389,0.600562332762987,0.269758613378726,0.705636032466994,0.90894056984394
"D1",0.639692313436618,0.685309596065994,0.756939227958672,0.729446955991295,0.711943889480527,0.588596688220754,0.749031562293187,0.596848237282478,0.621267154955912,0.664825404592994,0.681035157029266,0,0.759341093445886,0.608417539831206,0.654098198222957,0.557400005795789,0.572555605002737,0.71236122011624,0.58715741245917,0.542976878207191,0.606282410567319,0.701587104201276,0.485370321214827,0.528497693755826,0.457425094033153,0.583379675358669,0.569175647761501,0.583304606830221,0.831518118862993,0.697986872879657,0.381574572191627,0.442012490065824,0.658279052286455,0.581199806028006,0.850744309334512
"D3",0.869698912455943,0.895905199663854,0.921244750033772,0.911787883427648,0.904322891805368,0.822715744818161,0.918876334454109,0.849752907290432,0.836653376228337,0.820493718459238,0.895594110058118,0.759341093445886,0,0.868999307238394,0.874650027064313,0.862076815869434,0.857210892063567,0.708124026727519,0.854260290877173,0.861756440209012,0.881275025623305,0.500041833964491,0.769605720082281,0.85247512874723,0.82022333195016,0.865346000029349,0.873553814825682,0.87158307878074,0.583739666872986,0.900143308190489,0.83790618713861,0.833206759109891,0.887050446982036,0.844362159717763,0.687009006116388
"G1",0.632279448354194,0.511401846618121,0.573437282352616,0.47032495776115,0.438612869032341,0.728411703356713,0.520991927717893,0.686810081493343,0.737361653953387,0.767592323462659,0.419567941805772,0.608417539831206,0.868999307238394,0,0.671784374049504,0.598853603554453,0.607030689539662,0.822565314078611,0.626420378813668,0.452560547359101,0.422612439349481,0.852052618048353,0.680403285377169,0.57561045981615,0.529064752407151,0.380292617816828,0.395797038053909,0.451658082676624,0.914989981658574,0.320873108378573,0.482541097805142,0.452390095621518,0.373681776580595,0.679249543696812,0.89345873049551
"J1",0.547525916245066,0.613666516234788,0.69854812142444,0.741316209063384,0.714239949945533,0.568641126095828,0.753716903654761,0.527492345068911,0.606030835401908,0.613302796383129,0.692572778564666,0.654098198222957,0.874650027064313,0.671784374049504,0,0.576281135359842,0.520247502970546,0.738266083047518,0.337247897158188,0.631419694336647,0.667358969594444,0.844087731736506,0.696364024459442,0.609923356419099,0.615063802652123,0.629009207722536,0.69387900352321,0.610314322899227,0.909779338629518,0.726504185271327,0.61636574558058,0.60090727060297,0.652330983146878,0.439204105025072,0.855810016561366
"J2",0.571452292755536,0.601114686209776,0.680098622726134,0.686960750674613,0.653899316113056,0.646631156485307,0.696160603405437,0.591103320019822,0.647775458777729,0.666303559764734,0.622799553372171,0.557400005795789,0.862076815869434,0.598853603554453,0.576281135359842,0,0.368686398747646,0.726469005693555,0.539092960254138,0.487575272334143,0.492460491930647,0.824512642197116,0.524274603598788,0.372420541398163,0.498640442623565,0.482670535493665,0.603819079944981,0.440342949559481,0.900732837380165,0.647027709024278,0.484491005845793,0.498921094154097,0.618710812751645,0.593137216673575,0.833459058662588
"J4",0.545154025762883,0.581927554528911,0.665153345307963,0.69118670559339,0.657108657183168,0.602720080431718,0.697246460503699,0.576898082276079,0.61456569373979,0.621289756532822,0.623347804415035,0.572555605002737,0.857210892063567,0.607030689539662,0.520247502970546,0.368686398747646,0,0.684604701432357,0.478770312218539,0.504299609358163,0.527254353261041,0.821203560024574,0.54022725956229,0.394363420534235,0.522643417624444,0.44641097287876,0.605880405521909,0.437265404150669,0.899403719110292,0.660750316490661,0.524366790215253,0.517019879537161,0.61361107941565,0.53887664430712,0.813196019487598
"J5",0.776632567535675,0.802763879892596,0.850018115876628,0.866754372621593,0.842195165676583,0.675642898992818,0.870644392540946,0.727667712825553,0.71367867081821,0.640231785088592,0.841186442369429,0.71236122011624,0.708124026727519,0.822565314078611,0.738266083047518,0.726469005693555,0.684604701432357,0,0.74641206307241,0.769542232096066,0.803468587401084,0.639199069280714,0.599558772213509,0.734763408093456,0.766952803017608,0.784392202398687,0.839014433232329,0.769932459474091,0.789493433811007,0.856890622689207,0.784900384800588,0.772346385298432,0.820338098847492,0.679328657894541,0.64789559409914
"J6",0.535076955354504,0.59784113933694,0.709550611913609,0.722285578970416,0.691895784254774,0.546571541535017,0.733768015447083,0.517560149070717,0.598787740667045,0.644478202237987,0.667786166703596,0.58715741245917,0.854260290877173,0.626420378813668,0.337247897158188,0.539092960254138,0.478770312218539,0.74641206307241,0,0.582065031561083,0.621382503261284,0.819698355112751,0.636780777059108,0.53833828686728,0.552695821294044,0.578272989490117,0.656813491920645,0.572635896628898,0.896174781908324,0.694385650033246,0.561769676598319,0.539232236674968,0.624581034186811,0.432477592239651,0.837219758462999
"K1",0.580962340880615,0.553492089423308,0.650437416726421,0.599758532991542,0.563686970850998,0.694886019216888,0.623687822475724,0.650216518101943,0.704920559862761,0.736993457013999,0.549403076241997,0.542976878207191,0.861756440209012,0.452560547359101,0.631419694336647,0.487575272334143,0.504299609358163,0.769542232096066,0.582065031561083,0,0.258218928233315,0.817217801920478,0.582642861248609,0.390783382067692,0.29148493904117,0.302192312138062,0.417851398257236,0.315038775832833,0.90002409770667,0.536686471285655,0.341417996139464,0.426266346848748,0.519932754173704,0.636387683037783,0.865730421985364
