"","Elevation","North","East","WorE","bio5Warmest","bio7temprange","bio12precip","bio15precipseasonal","PSVs","PSRs","PSEs","SR","SR.phy.diff","dispersion","NRI","NRIdispersion","trait.NRI","trait.PSV","trait.NRIdispersion","total.branch.length"
"D1",4024.25,27.469675,88.16467084,"E",146,257,796,88,0.392284082576191,4.3151249083381,0.371447755202905,11,6.6848750916619,"u",2.15879111853459,"u",0.352033388865826,0.736017398570072,"Null",292.302267185723
"D3",4094.25,27.47734167,88.16261667,"E",146,257,796,88,0.406230920238213,2.03115460119106,0.36186118795871,5,2.96884539880894,"n",1.31067729639662,"n",1.06130277758774,0.660522314390187,"Null",178.87382658033
"G1",3151.5,27.44546667,88.17529167,"E",181,220,1394,88,0.434577229562051,12.6027396572995,0.372856517986851,29,16.3972603427005,"u",2.9258302487055,"u",1.69193939799512,0.705191615445041,"Null",643.000535140965
"J1",480.5,32.75515417,74.86682084,"W",398,326,1303,107,0.709829653124369,21.2948895937311,0.616928338093014,30,8.70511040626892,"n",-1.54089534914654,"n",-1.32841420619488,0.796358349982879,"Null",1065.19753296744
"J2",1875,33.07107917,75.330475,"W",311,294,1187,45,0.714358045243463,15.0015189501127,0.520442415363533,21,5.99848104988727,"n",-1.12409925890286,"n",1.04279996687935,0.720516355763036,"Null",693.76954633082
"J4",1560.75,33.10009,75.12887,"W",326,300,1166,49,0.630817859353477,17.0320822025439,0.53059554402678,27,9.96791779745611,"n",-0.0807542082040168,"n",0.544822104751093,0.739859695865975,"Null",842.643116556595
"J5",989.25,32.9797325,75.12148,"W",343,304,1300,70,0.81968555590861,12.2952833386291,0.65235601505615,15,2.70471666137085,"o",-2.04117418742018,"o",-1.44118432583206,0.818909436887469,"Null",685.889298537379
"J6",560.25,32.7658525,74.870395,"W",398,326,1303,107,0.625161356262301,13.7535498377706,0.492487023943295,22,8.24645016222938,"n",-0.14100836257151,"n",0.0883122282519464,0.751204508174413,"Null",713.979885425597
"K1",3249.75,33.97840417,75.249475,"W",201,337,826,41,0.505717818713581,11.1257920116988,0.369272167953877,22,10.8742079883012,"n",1.60472773490394,"n",1.61753956943384,0.698548529668666,"Null",596.247487770584
"K2",2808.5,33.975725,75.2413875,"W",201,337,826,41,0.456932480032859,10.0525145607229,0.385663086575414,22,11.9474854392771,"u",2.43244166171869,"u",3.09369506706699,0.64938497214879,"Clustered",565.709385668834
"K4",3620.25,33.98672083,75.25224167,"W",198,339,790,41,0.379394158871812,3.79394158871812,0.361128884439163,10,6.20605841128188,"u",2.16513548298541,"u",1.00474822905714,0.702156307841232,"Null",254.032892313885
"K5",1735,34.14562,74.9190225,"W",274,326,918,44,0.497935013849553,6.47315518004418,0.399295806819917,13,6.52684481995582,"n",1.29369849977281,"n",1.38962825873597,0.693766703523428,"Null",384.151703583624
"K6",2288.25,33.950585,75.251605,"W",265,329,1022,45,0.556032350745884,11.1206470149177,0.457919428748683,20,8.87935298508232,"n",1.00365135493952,"n",2.38960830294824,0.671107748642666,"Clustered",565.812120119492
"L1",3387.5,32.50053333,76.98170417,"W",156,304,542,39,0.401030345745628,5.21339449469316,0.32691419433203,13,7.78660550530684,"u",2.40698110727759,"u",3.1013039048086,0.606414808253723,"Clustered",334.307770100511
"M1",2982.666667,32.24164584,77.13103333,"W",187,297,645,46,0.521069173655289,14.5899368623481,0.440970700063475,28,13.4100631376519,"n",1.70306073892917,"n",1.95591419498571,0.698382479042782,"Null",731.098319075303
"M2",3285,32.23605834,77.1272125,"W",187,297,645,46,0.398300078362259,10.3558020374187,0.367578244282359,26,15.6441979625813,"u",3.39240510563834,"u",2.09589983570393,0.691351595147653,"Clustered",566.893576215299
"M3",2439.75,32.24672917,77.16115833,"W",187,297,645,46,0.536568053379141,14.4873374412368,0.437744822682398,27,12.5126625587632,"n",1.34342009367129,"n",1.28672636820489,0.717382747301176,"Null",725.95330967958
"M4",3730,32.22755417,77.13241667,"W",187,297,645,46,0.38636078969385,2.3181647381631,0.387569774757443,6,3.6818352618369,"n",1.64477505712149,"n",3.1909025874809,0.478851218482882,"Clustered",187.981803350012
"N1",3025.75,27.77019167,88.52123334,"E",168,274,733,81,0.442725924259726,11.9535999550126,0.373281275358054,27,15.0464000449874,"u",2.77353955751554,"u",3.62983430463872,0.641935075854162,"Clustered",649.295814542665
"N2",3952.25,27.89490834,88.5281125,"E",141,301,445,101,0.400905130321924,8.01810260643848,0.361244724645592,20,11.9818973935615,"u",2.8595268501572,"u",1.952103550945,0.681951591371316,"Null",448.132593937216
"N3",3362.333333,27.82227917,88.55260417,"E",160,284,613,85,0.397167742735747,8.73769034018643,0.347616518005683,22,13.2623096598136,"u",3.05467061363804,"u",1.74029673735719,0.691173318389954,"Null",492.154580421484
"S1",2358.75,27.416375,88.19794167,"E",195,205,1754,94,0.463594886947848,15.298631269279,0.418707245632121,33,17.701368730721,"u",2.65724140067271,"u",1.94885071713293,0.700876135260197,"Null",790.470821897243
"U3",495.75,30.1634125,77.9147375,"W",103,338,316,54,0.643581256485224,20.5946002075272,0.548945622354702,32,11.4053997924728,"n",-0.489579928256665,"n",-1.64603421938672,0.804011333322613,"Null",1008.5689678742
"U4",1248,31.01455417,78.0477375,"W",103,338,316,54,0.728196443474053,8.73835732168864,0.668188740275131,12,3.26164267831136,"n",-1.10551828377598,"n",0.216758730346444,0.744563225207315,"Null",455.026711181421
